epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.487,0.87581,1.58169,0.98532,0.88952,0.26764,0.69628,0.41426,0.98688,2.43432,1.03081,0.00051677,0.00051677,0.00051677
2,444.981,0.74585,0.67742,0.89555,0.91587,0.92836,0.94652,0.62369,0.98641,0.90255,0.97831,0.000946239,0.000946239,0.000946239
3,670.969,0.71273,0.60137,0.88148,0.97471,0.97716,0.99331,0.76557,0.79637,0.75576,0.9089,0.00127009,0.00127009,0.00127009
4,917.659,0.70927,0.56905,0.89322,0.99777,0.99714,0.99477,0.79701,0.65235,0.5564,0.87959,0.0011719,0.0011719,0.0011719
5,1107.25,0.64278,0.51649,0.87114,0.99882,0.99976,0.99476,0.81693,0.60555,0.47404,0.87106,0.00100687,0.00100687,0.00100687
6,1282.66,0.62749,0.47833,0.86845,0.9985,0.99909,0.99477,0.83208,0.59654,0.43818,0.87644,0.000841835,0.000841835,0.000841835
7,1481.08,0.60605,0.45374,0.85989,0.99853,0.99846,0.99495,0.83862,0.59115,0.42774,0.877,0.000676802,0.000676802,0.000676802
8,1674.9,0.5973,0.43873,0.86163,0.99845,0.99971,0.99488,0.85584,0.54642,0.39729,0.85599,0.000511769,0.000511769,0.000511769
9,1851.96,0.57673,0.40356,0.85806,0.99887,0.99975,0.99493,0.86116,0.54389,0.37158,0.85953,0.000346736,0.000346736,0.000346736
10,2058.45,0.57211,0.39229,0.85283,0.99863,0.99989,0.99474,0.85961,0.53712,0.35809,0.85528,0.000181703,0.000181703,0.000181703
